name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,,g_us_per_km,max_i_ka,kv_from,MVA_sp,df,parallel,type,max_loading_percent,in_service,line_id,wp_max_i_ka,,MVA_wp
  'Shanonagh' to   'Mullingar',,1802,1523,5,7.60E-02,3.93E-01,9.26E+00,0.94,0,0.934257708,110,98.99999995,1,1,,110,TRUE,953,1.141870533,459,121
   'Coolshamroge' to       'Ennis',,1801,1652,11.437,1.87E-01,4.17E-01,9.50E+00,2.138719,0,0.519615242,110,98.99999995,1,1,,110,TRUE,952,0.635085296,458,121
   'Drumline' to       'Coolshamroge',,1671,1801,6,1.87E-01,4.17E-01,9.50E+00,1.122,0,0.519615242,110,98.99999995,1,1,,110,TRUE,951,0.635085296,457,121
  'Woodhouse' to   'Lyrencarriga',,1423,1795,12.756,7.62E-02,3.93E-01,9.26E+00,0.9720072,0,0.934257708,110,177.9999999,1,1,,110,TRUE,950,1.102214151,456,210
  'Knockraha' to   'Lyrencarriga',,1594,1795,28.7,7.62E-02,3.93E-01,9.26E+00,2.18694,0,0.934257708,110,177.9999999,1,1,,110,TRUE,949,1.102214151,455,210
 'Derrycarney' to    'Derrinlough',,1558,1800,2.35,7.62E-02,3.94E-01,9.50E+00,0.17907,0,0.934257708,110,177.9999999,1,1,,110,TRUE,948,1.102214151,454,210
 'Derrinlough' to    'Dallow T',,1800,907,4,7.62E-02,3.94E-01,9.50E+00,0.3048,0,0.934257708,110,177.9999999,1,1,,110,TRUE,947,1.102214151,453,210
   'Flagford' to Flagford BESS HV,,1655,1799,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,946,52.48113947,na,9999
   'Rathnaskilloge BESS HV,,1478,1797,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,945,52.48113947,na,9999
   'Rosspile' to Rosspile BESS HV,,1787,1794,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,944,52.48113947,na,9999
      'Flagford' to Flagford BESS HV,,1645,1793,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,943,52.48113947,na,9999
      'Srahnana' to Ballysumahan,,1466,1791,0.001,122.21,242,0,0.12221,0,52.48113947,110,9999,1,1,,110,TRUE,942,52.48113947,na,9999
Sligo  to     'Sligo BESS',,1471,1789,0.001,5,10,3.18E+04,0.005,0,52.48113947,110,9999,1,1,,110,TRUE,941,52.48113947,na,9999
   'Rosspile' to     'Wexford',,1787,1427,15.2,7.56E-02,3.89E-01,1.50E+01,1.14912,0,0.934257708,110,177.9999999,1,1,,110,TRUE,940,1.102214151,452,210
 'Great Island' to    'Rosspile',,1627,1787,19.7,7.55E-02,3.90E-01,1.37E+01,1.48735,0,0.934257708,110,177.9999999,1,1,,110,TRUE,939,1.102214151,451,210
  'Knockraha' to   'Dromana',,1596,3,43,6.58E-02,4.14E-01,8.93E+00,2.8294,0,1.695310336,220,646,1,1,,110,TRUE,938,2.007604345,450,765
  'Cullenagh' to   'Dromana',,1682,3,43,6.58E-02,4.14E-01,8.93E+00,2.8294,0,1.695310336,220,646,1,1,,110,TRUE,937,2.007604345,449,765
Curraghtown to Woodland,,5,1430,25.2,5.71E-02,4.20E-01,8.62E+00,1.43892,0,1.138954622,220,434,1,1,,110,FALSE,936,1.346275855,448,513
Curraghtown to Oriel,,5,148,24,5.71E-02,4.20E-01,8.62E+00,1.3704,0,1.138954622,220,434,1,1,,110,TRUE,935,1.346275855,447,513
 'Knockharley_' to  'Knockharley_',,51,50,0.001,5,10,3.18E+04,0.005,0,288.6462671,20,9999.000001,1,1,,110,TRUE,934,288.6462671,,9999
 'Knocknamona' to   'Woodhouse',,120,1423,1.5,8.87E-02,1.86E-01,2.64E+02,0.13305,0,0.650831213,110,124.0000001,1,1,,110,TRUE,933,0.650831212,446,124
 'Coolberrin' to  'Coolberrin',,123,101,0.001,5,10,3.18E+04,0.005,0,15.17823471,38,999.0000001,1,1,,110,TRUE,932,15.17823471,,999
 'Oriel landin' to  'Oriel offsho',,147,146,15.9,3.07E-02,7.00E-02,218.3534903,0.48813,0,1.495862061,220,570,1,1,,110,TRUE,931,1.495862061,445,570
      'Oriel' to  'Oriel landin',,148,147,20.1,2.43E-02,1.90E-01,1.80E+02,0.48843,0,1.556221407,220,592.9999998,1,1,,110,TRUE,930,1.556221408,444,593
  'BUNKIMALT' to     'CUREENY',,152,149,7.3,6.30E-02,1.14E-01,2.60E+02,0.4599,0,0.629836657,110,119.9999999,1,1,,110,TRUE,929,0.629836658,443,120
 'Coomataggart' to  'Cleanrat_ph1',,155,63,8.1,3.30E-01,3.80E-01,1.09E+01,2.673,0,0.384393732,38,25.30000001,1,1,,110,TRUE,928,0.455802844,,30
 'Coomataggart' to  'Coomataggart',,157,155,4.8,1.06E-01,3.05E-01,6.89E+01,0.5088,0,0.670030181,38,44.10000001,1,1,,110,TRUE,927,0.668510838,,44
 'Coomataggart' to  'Lettercannon',,157,97,8,1.90E-01,2.33E-01,1.68E+02,1.52,0,0.384393732,38,25.30000001,1,1,,110,TRUE,926,0.455802844,,30
   'Killnick' to   'Blusheens',,167,166,0.8,0.085,0.105,3.98E+02,0.068,0,0.522501994,20,18.10000001,1,1,,110,TRUE,925,0.519615242,,18
    'Wexford' to       'Ferns',,172,1068,7.1,3.73E-01,3.92E-01,9.28E+00,2.6483,0,0.384393732,38,25.30000001,1,1,,110,TRUE,924,0.455802844,,30
    'Wexford' to    'Killnick',,172,169,10,1.22E-01,3.56E-01,1.10E+01,1.22,0,0.774864835,38,51,1,1,,110,TRUE,923,0.911605688,,60
 'Rahora bypas' to  'BALLYMARTIN',,187,184,12.5,1.88E-01,2.91E-01,1.08E+02,2.35,0,0.411939417,20,14.27,1,1,,110,TRUE,922,0.519615242,,18
 'ROSBERCON2 2' to  'Rahora bypas',,189,187,6.9,1.87E-01,2.92E-01,9.58E+01,1.2903,0,0.411939417,20,14.27,1,1,,110,TRUE,921,0.519615242,,18
  'Waterford' to  'GRANAGH 38',,190,188,5.4,3.73E-01,3.92E-01,9.42E+00,2.0142,0,0.299310534,38,19.69999998,1,1,,110,TRUE,920,0.395029132,,26
  'Waterford' to  'ROSBERCON 38',,190,186,8.8,3.73E-01,3.92E-01,9.28E+00,3.2824,0,0.299310534,38,19.69999998,1,1,,110,TRUE,919,0.395029132,,26
 'ROSBERCON1 2' to   'RAHORA 20',,191,185,6.9,1.87E-01,2.92E-01,9.58E+01,1.2903,0,0.411939417,20,14.27,1,1,,110,TRUE,918,0.519615242,,18
 'GRANAGH 10' to  'Curraghmarti',,192,183,1.2,0.22,0.35,2.65E+02,0.264,0,0.409918691,10,7.099999998,1,1,,110,TRUE,917,0.519615242,,9
   'BeamHill' to  'BeamHill_ph2',,201,66,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,916,151.9190879,,9999
 'Trillick38b' to    'BeamHill',,204,201,14,4.70E-02,1.10E-01,2.89E+02,0.658,0,0.670030181,38,44.10000001,1,1,,110,TRUE,915,0.668510838,,44
   'Trillick' to   'Cooly_ph1',,207,89,0.001,5,10,3.18E+04,0.005,0,151.9190879,38,9998.999998,1,1,,110,TRUE,914,151.9190879,,9999
