name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
 'Painestown',1331,0,1.05,,-2.346804511,2.346804511,1,FALSE,TRUE,11,0,0,7.14,12772,23,TRUE,1.1,0.9,
  'Baltrasna',1332,9,1.04,,-3.286841052,3.286841052,1,FALSE,FALSE,11,0,0,10,12771,99,TRUE,1.1,0.9,
Hilltown PV,1334,0,1,,-3.286841052,3.286841052,1,FALSE,TRUE,11,0,0,10,,23,TRUE,1.1,0.9,
  'Crossmore',1337,3,1.05,,-2.235051915,2.235051915,1,FALSE,TRUE,4,0,0,15,12575,3,TRUE,1.1,0.9,
Crossmore (2),1337,0,1.05,,-3.29,3.29,1,FALSE,TRUE,4,0,0,10,,17,TRUE,1.1,0.9,
 'Lissycasey',1338,0,1.05,,-4.404367009,4.404367009,1,FALSE,TRUE,4,0,0,13.4,12574,17,TRUE,1.1,0.9,
 'BOOLTIAGH_PH',1339,0,1.05,,-3.944209262,3.944209262,1,FALSE,TRUE,4,0,0,12,12572,17,TRUE,1.1,0.9,
  'Booltiagh',1340,0,1.05,,-6.392905846,6.392905846,1,FALSE,TRUE,4,0,0,19.45,12571,17,TRUE,1.1,0.9,
Gortaheera CM2 Windfarm,1348,0,1,,-1.31,1.31,1,FALSE,TRUE,4,0,0,4,,17,TRUE,1.1,0.9,
 'Knocknalour',55,0,1.05,,-1.298302215,1.298302215,1,FALSE,TRUE,9,0,0,3.95,68307,17,TRUE,1.1,0.9,
   'Ballaman',614,0,1.04,,-1.183262779,1.183262779,1,FALSE,TRUE,9,0,0,3.6,36474,17,TRUE,1.1,0.9,
 'Ballinknocka',1361,0,1,,-16.43420526,16.43420526,1,FALSE,TRUE,5,0,0,50,11571,23,TRUE,1.1,0.9,
Moate Solar Farm,1366,0,1,,-3.286841052,3.286841052,1,FALSE,TRUE,2,0,0,10,,23,TRUE,1.1,0.9,
Rooaun Solar,1368,0,1,,-1.314736421,1.314736421,1,FALSE,TRUE,3,0,0,4,,23,TRUE,1.1,0.9,
Cuilmore Solar,1368,0,1,,-13.14736421,13.14736421,1,FALSE,TRUE,3,0,0,40,,23,TRUE,1.1,0.9,
   'Athea 1b',1373,0,1.05,,-11.22456219,11.22456219,1,FALSE,TRUE,5,0,0,34.15,11372,17,TRUE,1.1,0.9,
      'Athea',1374,0,1.05,,-11.2574306,11.2574306,1,FALSE,TRUE,5,0,0,34.25,11371,17,TRUE,1.1,0.9,
