Element Type,Element Index,Element Name,Intact Loading %,Max Loading %,Cause Element,Cause Index,Cause Element Name
line,289, 'Harristown' to    'Kinnegad',18.424024597305042,52.50302859103626,trafo,1324,Rathcobican'
line,290, 'Harristown' to    'Dunfir_T',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,291,    'Clogher' to    'Mulreavy',8.390219475686091,8.485888018177155,line,664,  'Cath Fall' to     'Clogher'
line,292, 'Grange Castl' to  'Inch_Country' 2,23.031006735009775,50.35139525849939,line,357, 'Inch_Country' to  'YellowMeadow'
line,293, 'Grange Castl' to  'Inch_Country',23.031006735009775,50.35139525849939,line,357, 'Inch_Country' to  'YellowMeadow'
line,294, 'Grange Castl' to      'Nangor',3.964954760486656,7.463039471981796,line,340, 'Grange Castl' to      'Nangor' 2
line,295, 'Grange Castl' to      'Nangor' 2,3.8087941662286693,7.474548744693611,line,341, 'Grange Castl' to      'Nangor'
line,296, 'Grange Castl' to  'YellowMeadow',31.103599900753228,38.67367358215068,line,343, 'Grange Castl' to  'Inch_Country' 2
line,297, 'Grange Castl' to    'Grfrat T',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,298,   'Glanagow' to     'Raffeen',26.133204513120262,48.683333527522635,line,16,   'Aghada_B' to    'Glanagow'
line,299,     'Gorman' to       'Louth',22.04969009655259,49.447753024897494,line,935,Curraghtown to Oriel
line,300,     'Gorman' to  'Maynooth B',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,301, 'Francis St' to  'Bedford Row' 2,0.41518918009822625,0.41706376595696043,trafo,1003,GOR2101'
line,302,     'Gorman' to  'Garballagh',61.206348483573535,97.06801549787541,line,309, 'Garballagh' to      'Platin'
line,303,     'Gorman' to  'Meath Hill',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,304,     'Gorman' to       'Navan' 3,26.92635388079726,42.80564314393412,line,329,     'Gorman' to       'Navan' 2
line,305,     'Gorman' to       'Navan',31.090381594579135,49.425503637942555,line,329,     'Gorman' to       'Navan' 2
line,306,     'Gorman' to       'Navan' 2,35.36752106762789,52.45491173715088,line,330,     'Gorman' to       'Navan'
line,307,     'Golagh' to    'Golagh T',18.011123152399808,17.882336105424006,line,173, 'Carrickmines' to  'Pottery Road'
line,308,     'Galway' to  'Knockranny A',29.628758440944537,34.6266938602268,line,323,     'Galway' to    'Salthill'
line,309,     'Galway' to    'Salthill',28.673739994416586,49.34333146692102,line,324,     'Galway' to  'Knockranny A'
line,310,     'Garrow' to  'Ballyvouskil',9.859163379424542,34.89489467032481,line,58, 'Ballyvouskil' to  'Clashavoon'
line,311,     'Grange' to     'Newbury',26.50838216748467,71.58945792463692,line,400,    'Kilmore' to     'Newbury'
line,312, 'Great Island' to      'Kellis',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,313, 'Great Island' to   'Lodgewood',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,314, 'Great Island' to    'Kilkenny',0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,315, 'Great Island' to   'Waterford' 3,3.143677210751082,19.30924846306454,line,169,      'Cahir' to        'Doon'
line,316, 'Great Island' to   'Waterford' 2,3.1469575312314606,19.32907712101479,line,169,      'Cahir' to        'Doon'
line,317, 'Great Island' to   'Waterford',3.4518781146821755,21.288666224258453,line,169,      'Cahir' to        'Doon'
line,318,   'Glasmore' to  'Stephenstown',13.486850484643206,57.4057389125616,line,304,  'Fin_rural' to    'Glasmore'
line,319,Garballagh to Deenes,0.0,0.0,line,1062,   Offshore  to   'Knockraha'
line,320, 'Garballagh' to      'Platin',36.52868853456762,96.73965964466022,line,333,     'Gorman' to  'Garballagh'
line,321,   'Firlough' to         'Moy',6.431441203985296,30.434783747977683,line,284,   'Flagford' to      'Tonroe'
line,322,   'Firlough' to     'Glenree',6.269371274135856,30.72210345505195,line,284,   'Flagford' to      'Tonroe'
line,323, 'Finglas B5' to    'Macetown',2.9852542430324593,19.205845950295572,line,697,    'Corduff' to    'Macetown'
